Parent	Gropoff	WATOff	Names	Truck	Plant	Stud0	Stud1	Stud2	Stud3	Stud4	Stud5	Stud6	Stud7	Stud8	Stud9	Stud10	Stud11	Stud12	Stud13	Stud14	Stud15	Stud16	Stud17	Stud18	Stud19	Mach0	Mach1	Mach2	Mach3	Mach4	Mach5	Mach6	Mach7	Mach8	Mach9	Cour0
*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******
S	S	S	S																							S5										S
				d4,4																										r						
				D4,4																										R						
				d5,4																											r					
				D5,4																											R					
				d6,4																												r				
				D6,4																												R				
				d7,4																													r			
				D7,4																													R			
				d8,4																														r		
				D8,4																														R		
				d9,4																															r	
D3,1				D9,4																															R	
D8,3																																				
D4,1																																				
D11,2					G5																															
				P5	P																															
				d0,5																						r										
				D0,5																						R										
				d1,5																							r									
				D1,5																							R									
				d2,5																								r								
				D2,5																								R								
				d3,5																									r							
				D3,5																									R							
				d4,5																										r						
				D4,5																										R						
				d5,5																											r					
				D5,5																											R					
				d6,5																												r				
				D6,5																												R				
				d7,5																													r			
				D7,5																													R			
				d8,5																														r		
				D8,5																														R		
				d9,5																															r	
D8,2				D9,5																															R	
D9,2																																				
D6,1																																				
D9,2					G5																															
				P5	P																															
				d0,5																						r										
				D0,5																						R										
				d1,5																							r									
				D1,5																							R									
				d2,5																								r								
				D2,5																								R								
				d3,5																									r							
				D3,5																									R							
				d4,5																										r						
				D4,5																										R						
				d5,5																											r					
				D5,5																											R					
				d6,5																												r				
				D6,5																												R				
				d7,5																													r			
				D7,5																													R			
				d8,5																														r		
				D8,5																														R		
				d9,5																															r	
D18,3				D9,5																															R	
D16,1																																				
D6,1		W																																		T6,5
																																				t7,5
		W										B2,0	B3,0																				B2,2		B3,2	T7,5
																																				t8,5
D6,3					G3									B1,0												B1,2										T8,5
				P3	P																															
				d0,3																						r										
				D0,2																						R										
				d1,2																							r									
				D1,2																							R									
				d2,2																								r								
				D2,2																								R								
				d3,2																									r							
				D3,2																									R							
				d4,2																										r						
				D4,2																										R						
				d5,2																											r					
				D5,2																											R					
				d6,2																												r				
				D6,2																												R				
				d7,2																													r			
				U7,1																													R			
				D7,2																																
				d8,2																														r		
				D8,2																														R		
				d9,2																															r	
D5,2		T6,10		D9,1																															R	
		W																																		t9,5
		W													B2,0													B2,2								T9,5
																																				t10,5
D12,1		T7,10														B3,0											B3,2									T10,5
D18,3		T8,10																																		
D8,1		T10,10			G5																															
				P5	P																															
				d0,5																						r										
				D0,5																						R										
				d1,5																							r									
				D1,4																							R									
				d2,4																								r								
				U2,1																								R								
				D2,4																																
				d3,4																									r							
				D3,4																									R							
				d4,4																										r						
				D4,4																										R						
				d5,4																											r					
				D5,4																											R					
				d6,4																												r				
				D6,4																												R				
				d7,4																													r			
				U7,1																													R			
				D7,4																																
				d8,4																														r		
				D8,4																														R		
				d9,4																															r	
		W		D9,4																															R	t11,5
D15,3		T9,10															B2,0										B2,2									T11,5
		W																																		t12,5
D2,1		W																B3,0										B3,2								T12,5
																																				t13,5
D8,3		W																	B2,0										B2,2							T13,5
																																				t14,5
D0,3		T11,10			G2															B0,0											B0,2					T14,5
				P2	P																															
				d0,2																						r										
				D0,2																						R										
				d1,2																							r									
				D1,1																							R									
				d2,1																								r								
				U2,2																								R								
				D2,1																																
				d3,1																									r							
				U3,1																									R							
				D3,1																																
				d4,1																										r						
				D4,1																										R						
				d5,1																											r					
				U5,1																											R					
				D5,1																																
				d6,1																												r				
				D6,1																												R				
				d7,1																													r			
				U7,1																													R			
				D7,1																																
				d8,1																														r		
				D8,1																														R		
				d9,1																															r	
				D9,1																															R	
		W		W																																t15,5
																					B3,0											B3,2				T15,5
D5,1		T14,10																			F3,1															
D8,1		T12,10																																		
D9,2		T13,10																																		
		W																																		t16,5
		W																				B2,0											B2,1			T16,5
																																				t17,5
D10,2		W			G5																		B1,0											B1,2		T17,5
																																				t18,5
				P5	P																															T18,5
				d0,5																						r										
				D0,5																						R										
				d1,5																							r									
				D1,5																							R									
				d2,5																								r								
				U2,1																								R								
				D2,4																																
				d3,4																									r							
				D3,3																									R							
				d4,3																										r						
				D4,3																										R						
				d5,3																											r					
				D5,2																											R					
				d6,2																												r				
				U6,1																												R				
				D6,2																																
				d7,2																													r			
				U7,2																													R			
				D7,2																																
				d8,2																														r		
				D8,1																														R		
				d9,1																															r	
D18,3		W		D9,1																				B0,0										B0,2	R	t19,5
		W																							B2,0	B2,2										T19,5
																																				t2,10
D19,1		T18,10						L																												L2
D17,1		C2,5																																		
D8,1		T17,10			G3																															
		T16,10		P3	P																															
				d0,3																						r										
				D0,2																						R										
				d1,2																							r									
				D1,2																							R									
				d2,2																								r								
				D2,1																								R								
				d3,1																									r							
				D3,1																									R							
				d4,1																										r						
				D4,1																										R						
				d5,1																											r					
				D5,1																											R					
				d6,1																												r				
				U6,1																												R				
				D6,1																																
				d7,1																													r			
				U7,2																													R			
				D7,1																																
				d8,1																														r		
				U8,1																														R		
				D8,1																																
				d9,1																															r	
D11,3		T19,10		D9,1																															R	
		W																																		t3,10
D3,1		W							B2,5																						B2,2					T3,10
																																				t1,10
D7,1		W					B0,5																				B0,2									T1,10
																																				t4,10
									B2,0																						B2,1					T4,10
		W								A0																					A					t0,10
D18,1		W			G6	B2,5	B0,0																				B0,1		B2,2							T0,10
				P6	P	A2																							A							t5,10
				d0,6																						r										
				D0,6																						R										
				d1,6																							r									
				D1,4																							R									
				d2,4																								r								
				D2,4																								R								
				d3,4																									r							
				D3,3																									R							
				d4,3																										r						
				D4,3																										R						
				d5,3																											r					
				U5,1																											R					
				D5,2																																
				d6,2																												r				
				D6,1																												R				
				d7,1																													r			
				U7,2																													R			
				D7,1																																
				d8,1																														r		
				U8,1																														R		
				D8,1																																
				d9,1																															r	
D11,2		T3,10		D9,1						B0,5																					B0,2				R	
D19,3		T1,10								B0,0																					B0,1					
D6,1																																				
D5,3		T4,10			G2																															
				P2	P																															
				d0,2																						r										
				D0,2																						R										
				d1,2																							r									
				D1,2																							R									
				d2,2																								r								
				D2,2																								R								
				d3,2																									r							
				D3,2																									R							
				d4,2																										r						
				D4,2																										R						
				d5,2																											r					
				U5,2																											R					
				D5,1																																
				d6,1																												r				
				D6,1																												R				
				d7,1																													r			
				U7,2																													R			
				D7,1																																
				d8,1																														r		
				U8,1																														R		
				D8,1																																
				d9,1																															r	
D2,1		T0,10		D9,1		B2,0																							B2,2						R	
D4,1																																				
D13,2																																				
D1,3					G5																															
				P5	P																															
				d0,5																						r										
				D0,5																						R										
				d1,5																							r									
				D1,5																							R									
				d2,5																								r								
				D2,5																								R								
				d3,5																									r							
				D3,4																									R							
				d4,4																										r						
				D4,4																										R						
				d5,4																											r					
				U5,2																											R					
				D5,4																																
				d6,4																												r				
				D6,4																												R				
				d7,4																													r			
				U7,2																													R			
				D7,4																																
				d8,4																														r		
				U8,1																														R		
				D8,4																																
				d9,4																															r	
